,number,value,datetime_start,datetime_complete,duration,params_l2_regularization,params_learning_rate,params_loss,params_max_iter,params_max_leaf_nodes,params_min_samples_leaf,params_n_iter_no_change,params_tol,state
0,0,5.052532704701986,2021-07-13 23:00:54.596381,2021-07-13 23:01:42.327078,0 days 00:00:47.730697,0.2483192791523272,0.06719005895272334,least_absolute_deviation,198,2,16,9,9.222577840578366e-06,COMPLETE
1,1,-0.5542859256738488,2021-07-13 23:01:42.330556,2021-07-13 23:02:26.960577,0 days 00:00:44.630021,0.9276091618841646,0.5260536482375828,least_squares,148,84,23,12,7.018293063648053e-09,COMPLETE
2,2,-0.5151317013575313,2021-07-13 23:02:26.963549,2021-07-13 23:03:19.246080,0 days 00:00:52.282531,0.43167317043282105,0.2929858234833661,least_absolute_deviation,74,65,39,3,8.317675223889636e-09,COMPLETE
3,3,-0.506569255481024,2021-07-13 23:03:19.249033,2021-07-13 23:04:05.169174,0 days 00:00:45.920141,0.0064227491847029805,0.7513391193152917,least_absolute_deviation,129,67,31,10,1.525566998402845e-05,COMPLETE
4,4,-0.4752580810491215,2021-07-13 23:04:05.175974,2021-07-13 23:04:37.986505,0 days 00:00:32.810531,0.07213396582103382,0.11527221569933,least_squares,91,23,38,17,0.10739108017303825,COMPLETE
5,5,-0.5621858417840823,2021-07-13 23:04:37.989524,2021-07-13 23:05:09.757706,0 days 00:00:31.768182,0.45031550741529847,0.699517037818961,least_squares,176,23,53,19,2.1422196828134604e-06,COMPLETE
6,6,0.9001326891821086,2021-07-13 23:05:09.763225,2021-07-13 23:05:49.878669,0 days 00:00:40.115444,0.676943031917814,0.04571319476398339,least_squares,19,54,78,4,0.0016993990630459381,COMPLETE
7,7,-0.561466783398634,2021-07-13 23:05:49.881657,2021-07-13 23:06:53.488854,0 days 00:01:03.607197,0.2351082338188928,0.36873882876212827,least_squares,198,86,22,17,2.215312987181245e-06,COMPLETE
8,8,-0.5066153570273615,2021-07-13 23:06:53.491591,2021-07-13 23:07:30.811232,0 days 00:00:37.319641,0.7586597999550861,0.47420344959488014,least_absolute_deviation,182,39,35,8,5.154460873769827e-07,COMPLETE
9,9,-0.553726394270208,2021-07-13 23:07:30.814042,2021-07-13 23:08:03.657904,0 days 00:00:32.843862,0.29388065853559475,0.6091140995188803,least_squares,51,91,49,6,8.180915723851244e-05,COMPLETE
10,10,-0.5709679306014956,2021-07-13 23:08:03.660665,2021-07-13 23:08:44.143989,0 days 00:00:40.483324,0.5554138574942614,0.9453582600430439,least_squares,157,3,77,20,1.2060074988461005e-10,COMPLETE
11,11,-0.5655056611055358,2021-07-13 23:08:44.146732,2021-07-13 23:09:32.992140,0 days 00:00:48.845408,0.5339483940749575,0.9936474368564467,least_squares,164,2,76,20,1.6249350168689577e-10,COMPLETE
12,12,-0.5683865408362401,2021-07-13 23:09:32.999441,2021-07-13 23:10:12.599696,0 days 00:00:39.600255,0.6430839500390741,0.9208147487063392,least_squares,134,3,100,14,1.1334751105691657e-10,COMPLETE
13,13,-0.5554932602169299,2021-07-13 23:10:12.602543,2021-07-13 23:10:39.414680,0 days 00:00:26.812137,0.7048450511133346,0.9907615163311578,least_squares,134,20,100,14,1.3711840831648388e-10,COMPLETE
14,14,-0.5697468404436419,2021-07-13 23:10:39.417551,2021-07-13 23:11:15.782650,0 days 00:00:36.365099,0.993701364905834,0.8653475205917625,least_squares,112,3,98,14,6.117540610309576e-09,COMPLETE
